;x;y;z
H22_M_gtrosada;0,155117749;-0,057449599;-0,158041475
H22_M_vtrosat;0,158202292;-0,060756858;-0,132012065
H22_M_ocele;-0,009057503;-0,0105179;0,137425229
H22_M_oe;-0,023383916;-0,011759069;0,116500187
H22_M_dm;0,1575223;-0,053439318;-0,115009686
H22_M_dldm;0,18195088;-0,059694346;-0,164120222
H22_M_oceld;-0,011070002;-0,010347075;0,137388018
H22_M_od;-0,020793529;-0,013373834;0,109881024
G94_M_gbt_buv;0,090343238;-0,035150216;-0,06355994
G94_M_gbt_t;0,252337073;-0,106076832;-0,141534083
G94_M_vbt_buv;0,079098274;-0,027520566;-0,076834774
G94_M_oe;0,018028244;-0,016401968;0,088107421
G94_M_ocele;0,001956257;-0,01455668;0,104013292
G94_M_dm;0,174106296;-0,062035629;-0,127733698
G94_M_dldm;0,185916805;-0,057168051;-0,189374836
G94_M_oceld;0,006598247;-0,009917409;0,132862874
G94_M_od;-0,015180129;-0,014136348;0,149054538
G56_F_gb;0,095249998;-0,033290706;-0,126198513
G56_F_vbuv;0,076210394;-0,026941578;-0,071416354
G56_F_dm;0,18097048;-0,06312886;-0,13157353
G56_F_dldm;0,204554619;-0,065286171;-0,176801149
G56_F_lm;0,131787488;-0,048427962;-0,072941105
G52_M_gt;0,252718067;-0,110838512;-0,100119277
G52_M_vt;0,245853113;-0,104550669;-0,107215106
G52_M_oe;0,026747177;-0,010864801;0,057673569
G52_M_ocele;0,001783219;-0,010915393;0,129955731
G52_M_dm;0,168730444;-0,065393689;-0,020169877
G52_M_dldm;0,187899873;-0,063606398;-0,129114317
G52_M_oceld;0,014561285;-0,01039384;0,102618368
G52_M_od;0,017856993;-0,012465941;0,080166436
H83_F_gb;0,082659997;-0,027042129;-0,096749636
H83_F_vbuv;0,068673137;-0,022964234;-0,071185617
H83_F_dm;0,180705401;-0,058414031;-0,088846007
H83_F_dldm;0,162150418;-0,045425434;-0,143614461
H83_F_lm;0,103541008;-0,044586082;0,127928718
H83_F_oceld,,,334;0,064627388;-0,023766966;0,007328387
H83_F_oceld,,,335;0,069866328;-0,023623299;0,006230557
G15_M_gt;0,309244778;-0,142647309;-0,141217534
G15_M_vt;0,306645206;-0,133211654;-0,172249143
G15_M_ocele;-0,026189423;-0,011063086;0,122632075
G15_M_oe;-0,002523808;-0,013557606;0,062552058
G15_M_dm;0,208416327;-0,078906169;-0,13052357
G15_M_dldm;0,252464528;-0,084148451;-0,206183991
G15_M_oceld;-0,011873038;-0,010562669;0,114382511
G15_M_od;0,00140597;-0,017752897;0,062303734
G16_F_gbuv;0,079763081;-0,028123739;-0,085048743
G16_F_vbuv;0,097241543;-0,034170735;-0,105922535
G16_F_dm;0,170875916;-0,053167324;-0,163962236
G16_F_dldm;0,170864099;-0,050961802;-0,186364857
G16_F_lm;0,173023452;-0,072992699;-0,076148242
H44_F_gb;0,096856791;-0,035122005;-0,131572705
H44_F_vb;0,080199787;-0,025725919;-0,133276085
H44_F_dm;0,192505776;-0,059861481;-0,204169296
H44_F_dldm;0,200316863;-0,056757341;-0,218466754
H44_F_oceld;0,021242579;-0,016364679;0,089196247
H44_F_od_menut;0,073429945;-0,029259211;0,014314658
H44_F_ocele;0,01480941;-0,015296109;0,102505851
H44_F_oe_menut;0,080396887;-0,031947847;-0,019537249
F57_F_gbuv;0,076402496;-0,027884955;-0,082444767
F57_F_vbuv;0,088772549;-0,033545957;-0,068762413
F57_F_ocele;0,039271667;-0,021123978;-0,007896878
F57_F_dm;0,141193045;-0,051627614;-0,119090052
F57_F_dldmv;0,227706343;-0,062816045;-0,235240873
F57_F_oceld;0,072646578;-0,030652412;-0,046986627
F57_F_lm;0,173611563;-0,067496478;-0,179750181
F71_F_gbuv;0,079237963;-0,030723101;-0,055197517
F71_F_vbuv;0,091725538;-0,034760933;-0,060675353
F71_F_dm;0,166526211;-0,063030133;-0,099201183
F71_F_dldvm;0,201992697;-0,063427769;-0,187944935
F71_F_lm;0,206674818;-0,074457379;-0,169934679
F71_F_oceld;0,081633557;-0,031815984;-0,057385714
F71_F_ocele;0,081373824;-0,033800092;-0,042338758
