"";"u";"s";"m";"l";"u,r";"s,r";"m,r";"l,r";"x";"y";"z";"h,theta";"h,phi";"r,vec";"r,max";"r,achieved";"lum"
"Espot_muralis_F_E57_vatrnj";0,145220912592153;0,201331662703708;0,232963344004522;0,420484080699617;-0,104779087407847;-0,0486683372962919;-0,0170366559954784;0,170484080699617;0,134202899996778;-0,055115104091031;-0,104779087407847;-0,389683423832698;-0,62548218411438;0,178960191731378;0,426994059975883;0,419116349631387;26,4459924327018
"Espot_muralis_m_E29_vatrnj";0,141235822026221;0,197489825029733;0,238082456028484;0,423191896915561;-0,108764177973779;-0,0525101749702666;-0,0119175439715157;0,173191896915561;0,138213727502312;-0,0510944081337412;-0,108764177973779;-0,354095605081213;-0,635845939553087;0,183148353590559;0,420975814377765;0,435056711895115;22,0005294850005
"Fontalba_F_A85_VATRNJ";0,162593347509288;0,18072210213963;0,220372312110361;0,436312238240721;-0,0874066524907119;-0,0692778978603701;-0,0296276878896387;0,186312238240721;0,156516354184045;-0,0623278268749623;-0,0874066524907119;-0,378970315151799;-0,478594998374863;0,189794757645338;0,542849863932;0,349626609962848;23,4073196395129
"Fontalba_M_A18_VT";0,106576773000876;0,171637026524578;0,220217954262197;0,501568246212349;-0,143423226999124;-0,078362973475422;-0,029782045737803;0,251568246212349;0,202040784612284;-0,0822963979435816;-0,143423226999124;-0,386805613814238;-0,581578193257168;0,261081209212915;0,455088786306751;0,573692907996495;24,6272887197197
"Fontalba_M_A22_VT_MUD";0,186322190259639;0,187906959266707;0,219041338535262;0,406729511938392;-0,063677809740361;-0,0620930407332928;-0,030958661464738;0,156729511938392;0,134000899564731;-0,0553501247265204;-0,063677809740361;-0,391712224561089;-0,413845503728867;0,158350057924612;0,621684612623559;0,254711238961444;20,6860117088892
"Fontalba_M_A3_VT";0,11390670174153;0,133409115053704;0,191736177301185;0,56094800590358;-0,13609329825847;-0,116590884946296;-0,0582638226988149;0,31094800590358;0,261813031944417;-0,109914363228578;-0,13609329825847;-0,397475024976434;-0,446940522938955;0,314878733436764;0,57842439243177;0,544373193033879;20,8503245316787
"Fontalba_M_A97_VT";0,0965190198100386;0,132060068085408;0,193995646680185;0,577425265424368;-0,153480980189961;-0,117939931914592;-0,0560043533198154;0,327425265424368;0,272729370668597;-0,113665307950353;-0,153480980189961;-0,394878814345318;-0,479087132312445;0,332952734088202;0,542335496027115;0,613923920759845;18,4654360901064
"Gallina_M_A14_vt_mud";0,164661966926025;0,171268796541662;0,20823534788878;0,455833888643533;-0,0853380330739749;-0,078731203458338;-0,0417646521112204;0,205833888643533;0,174259818564421;-0,0744696540224763;-0,0853380330739749;-0,403858077596707;-0,423120269038034;0,207833571939827;0,608853885112594;0,3413521322959;23,0244973947393
"Gallina_M_A68_vt";0,1385703587298;0,157144975816709;0,20990992193293;0,49437474352056;-0,1114296412702;-0,0928550241832907;-0,0400900780670696;0,24437474352056;0,206510214237934;-0,0819182765729558;-0,1114296412702;-0,377640218894392;-0,464897729228537;0,248543029624422;0,557623238285725;0,445718565080799;22,4566837120872
"Gallina_M_D18_vatrnj";0,162872051988751;0,19699572060346;0,231467017494902;0,408665209912887;-0,0871279480112492;-0,0530042793965395;-0,0185329825050979;0,158665209912887;0,129620560730898;-0,0504615778422612;-0,0871279480112492;-0,371250310400806;-0,559594300252631;0,164131471470812;0,47094954953381;0,348511792044997;25,3651650688662
"Gallina_M_D52_vt";0,101401254186842;0,146089860764858;0,203799899733289;0,548708985315011;-0,148598745813158;-0,103910139235142;-0,0462001002667114;0,298708985315011;0,246552853958486;-0,101540196705285;-0,148598745813158;-0,390670967561515;-0,508425841819075;0,305254498081954;0,513554970487048;0,594394983252631;23,9724200465867
"Gallina_M_D9_vt";0,119933761692043;0,125336684971907;0,176155768303401;0,578573785032648;-0,130066238307957;-0,124663315028093;-0,0738442316965986;0,328573785032648;0,277549906911894;-0,124308995031754;-0,130066238307957;-0,421089362540702;-0,404143476951288;0,330762608860476;0,635758005235247;0,520264953231828;16,7767667651568
"Ll10_M_vt";0,170898942972611;0,162493531740094;0,20423408056035;0,462373444726945;-0,0791010570273893;-0,0875064682599059;-0,0457659194396496;0,212373444726945;0,183638192732001;-0,0765085348860656;-0,0791010570273893;-0,394756882211021;-0,378449132425233;0,214087643181801;0,611633766734626;0,350025873039623;15,895347328528
