;x;y;z
H75_M_vgrnc;0,141134838;-0,032408255;-0,187329466
H75_M_ocele;0,080319401;-0,021783699;-0,000500748
H75_M_oe;0,051074281;-0,017356746;0,032666919
H75_M_dv;0,222301543;-0,01675237;-0,192642475
H75_M_dldg;0,162020983;-0,040327501;-0,18501714
H75_M_lm;0,173630388;-0,047873334;-0,167998466
H75_M_oceld;0,075583582;-0,023038797;0,015125298
H75_M_od;0,063277822;-0,01378474;0,03789287
H6_M_gbuv;0,108026084;-0,033251382;-0,096597211
H6_M_glatverdos;0,197251464;-0,034724138;-0,156446898
H6_M_vbt_t;0,254368902;-0,099208781;-0,189312361
H6_M_vbt_rosat;0,161573508;-0,051940442;-0,167935017
H6_M_ocele;0,057449786;-0,016600187;0,028337937
H6_M_oe;0,042945574;-0,008793269;0,104554279
H6_M_dv;0,227862415;-0,017800078;-0,185612215
H6_M_dldg;0,206127746;-0,043962714;-0,205307246
H6_M_lm;0,185512408;-0,052505562;-0,16275827
H6_M_oceld;0,043610129;-0,014261548;0,057395195
H6_M_od;0,040060119;-0,011300484;0,112334381
F51_F_ggrnc;0,152637678;-0,037540349;-0,125433028
F51_F_glatg;0,207761408;-0,049368045;-0,157069812
F51_F_vbuv;0,096623625;-0,031322864;-0,119752666
F51_F_dmv;0,200596879;-0,05663534;-0,168057036
F51_F_dldg;0,155562003;-0,038639892;-0,195932454
F51_F_lm;0,169313844;-0,052116487;-0,146007989
H25_M_gbuv;0,124278868;-0,035078671;-0,084987684
H25_M_glatv;0,207982377;-0,03508469;-0,125634583
H25_M_vgrnc;0,161251409;-0,041624186;-0,110219933
H25_M_ocele;0,055401853;-0,017189669;0,090624588
H25_M_oe;0,04179679;-0,015985808;0,061442305
H25_M_dv;0,248391371;-0,036286719;-0,191414785
H25_M_oceld;0,057729318;-0,019596417;0,044631552
H25_M_dldg;0,173391106;-0,054025841;-0,181749201
H25_M_lm;0,149602847;-0,052242257;-0,130107547
H25_M_od;0,061736101;-0,020016717;0,057652465
F61_F_gg;0,149928727;-0,036264441;-0,113528487
F61_F_glatg;0,174436817;-0,044577862;-0,122392195
F61_F_vbuvgrnc;0,112472723;-0,032228414;-0,094859023
F61_F_dv;0,242363428;-0,039083301;-0,180312852
F61_F_dldg;0,187333211;-0,054271272;-0,186014121
F61_F_lm;0,21164656;-0,073606255;-0,161321877
H38_M_gbuv;0,093691437;-0,02850686;-0,112347186
H38_M_glatg;0,219288847;-0,053216167;-0,167502308
H38_M_vgrnc;0,161289349;-0,036397871;-0,192462714
H38_M_ocele;0,07805495;-0,022079205;0,021671033
H38_M_oe;0,060733529;-0,015102088;0,03181324
H38_M_oev;0,144875389;-0,031062194;-0,082939638
H38_M_dv;0,244484524;-0,030425086;-0,196112674
H38_M_dldg;0,186405251;-0,039276705;-0,214721611
H38_M_lm;0,223065669;-0,062160755;-0,194639517
H38_M_od;0,085116533;-0,011316925;0,036032587
H84_F_gverdos;0,105889744;-0,027727145;-0,115809571
H84_F_glatgv;0,195359339;-0,042426135;-0,149235888
H84_F_vbgrnc;0,103327398;-0,026284452;-0,12638127
H84_F_ocele;0,084603899;-0,030040536;-0,053066481
H84_F_oe_menut;0,053609239;-0,031829974;-0,008929119
H84_F_dv;0,240492186;-0,057340289;-0,179317967
H84_F_dldg;0,16302379;-0,040334758;-0,194898123
H84_F_lm;0,169614726;-0,051822653;-0,146110628
H84_F_od_menut;0,034758068;-0,030931929;0,041869517
F76_F_gg;0,173838567;-0,044943019;-0,098821061
F76_F_glatg;0,232493656;-0,054496617;-0,157465955
F76_F_vt;0,301037506;-0,124564394;-0,157118121
F76_F_ocele;0,043427129;-0,009408393;0,092780981
F76_F_oe;0,055241729;-0,011235778;0,074633611
F76_F_dv;0,233893851;-0,03142834;-0,180306287
F76_F_dldm;0,186684698;-0,047454008;-0,188029141
F76_F_lm;0,172577478;-0,05342963;-0,147796885
F76_F_oceld;0,043896533;-0,010166851;0,099791416
F76_F_od;0,075654165;-0,007851852;0,012050816
F71_M_gbuv;0,097692563;-0,031142342;-0,07699837
F71_M_glatv;0,229758325;-0,049185867;-0,147673842
F71_M_vgrnc;0,217770946;-0,053008608;-0,163553555
F71_M_ocelv;0,167341144;-0,039183248;-0,118613349
F71_M_oev_bmenut;0,162710111;-0,02142469;-0,087470067
F71_M_dv;0,232213746;-0,030630241;-0,175929082
F71_M_dldg;0,210845362;-0,052003921;-0,194232749
F71_M_lm;0,191273727;-0,056141452;-0,161869438
F71_M_odv_bmenut;0,178008057;-0,03512171;-0,094850126
G76_F_gv;0,188478012;-0,036174283;-0,172264423
G76_F_glatv;0,197896662;-0,040613422;-0,166210147
G76_F_vgrnc;0,136932162;-0,039321522;-0,157108374
G76_F_dv;0,237441913;-0,05508843;-0,169990594
G76_F_dldg;0,179392993;-0,048041562;-0,189060035
G76_F_lm;0,194818484;-0,062307249;-0,145096662
F85_F_gtbuv;0,10317904;-0,029628406;-0,084899838
F85_F_glatv;0,185724441;-0,044051584;-0,144867874
F85_F_vbuv;0,122970183;-0,035688237;-0,112786171
F85_F_dv;0,180128585;-0,036731912;-0,148435239
F85_F_dldm;0,14159098;-0,036361755;-0,178763102
F85_F_lm;0,205958338;-0,06963836;-0,136923664
H92_M_gbuv;0,103922492;-0,029692627;-0,09441991
H92_M_glatg;0,186053835;-0,044978866;-0,138999969
H92_M_vg;0,147700434;-0,033411289;-0,160452521
H92_M_ocele;0,034052549;-0,013310897;0,065942969
H92_M_oe;0,030764294;-0,01310202;0,087233664
H92_M_dv;0,226533527;-0,028953556;-0,164512121
H92_M_dldg;0,181967153;-0,044013717;-0,185265148
